monetary_code	rate_as_float	date_as_iso
USD	20059.6721	2022-08-31T19:03:00+00:00
GBP	16761.7015	2022-08-31T19:03:00+00:00
EUR	19541.0493	2022-08-31T19:03:00+00:00
USD	20059.6721	2022-08-31T19:03:00+00:00
GBP	16761.7015	2022-08-31T19:03:00+00:00
EUR	19541.0493	2022-08-31T19:03:00+00:00
USD	20091.2213	2022-08-31T19:05:00+00:00
GBP	16788.0638	2022-08-31T19:05:00+00:00
EUR	19571.7828	2022-08-31T19:05:00+00:00
USD	20084.5079	2022-08-31T19:06:00+00:00
GBP	16782.4542	2022-08-31T19:06:00+00:00
EUR	19565.2431	2022-08-31T19:06:00+00:00
USD	20163.0832	2022-08-31T19:33:00+00:00
GBP	16848.111	2022-08-31T19:33:00+00:00
EUR	19641.7868	2022-08-31T19:33:00+00:00
USD	20163.0832	2022-08-31T19:33:00+00:00
GBP	16848.111	2022-08-31T19:33:00+00:00
EUR	19641.7868	2022-08-31T19:33:00+00:00
USD	20163.0832	2022-08-31T19:33:00+00:00
GBP	16848.111	2022-08-31T19:33:00+00:00
EUR	19641.7868	2022-08-31T19:33:00+00:00
USD	19967.2007	2022-09-01T13:47:00+00:00
GBP	16684.4332	2022-09-01T13:47:00+00:00
EUR	19450.9687	2022-09-01T13:47:00+00:00
USD	19938.1787	2022-09-01T14:02:00+00:00
GBP	16660.1826	2022-09-01T14:02:00+00:00
EUR	19422.697	2022-09-01T14:02:00+00:00
USD	19938.1787	2022-09-01T14:02:00+00:00
GBP	16660.1826	2022-09-01T14:02:00+00:00
EUR	19422.697	2022-09-01T14:02:00+00:00
